                         colat            lat            lon    colat_unrot      lon_unrot
A03_XZ             45.58933261    44.41066739   236.07534609    49.87398148   114.29090881
A04_XZ             45.56502397    44.43497603   236.10116421    49.87398148   114.33081818
A06_XZ             45.53788080    44.46211920   236.12998760    49.87398148   114.37536621
A07_XZ             45.61265771    44.38734229   236.32377372    50.02941513   114.40693665
A08_XZ             45.59973157    44.40026843   236.33754339    50.02941513   114.42813110
A10_XZ             45.56729842    44.43270158   236.37207682    50.02941513   114.48130798
A11_XZ             45.59364929    44.40635071   236.48829932    50.11141205   114.51955414
A12_XZ             45.58054557    44.41945443   236.50228754    50.11141205   114.54103088
A13_XZ             45.55753467    44.44246533   236.52684890    50.11141205   114.57874298
A15_XZ             45.57058033    44.42941967   236.65733283    50.19340897   114.63883209
A16_XZ             45.55206027    44.44793973   236.67714038    50.19340897   114.66915894
A17_XZ             45.53291866    44.46708134   236.69763095    50.19340897   114.70051575
A20_XZ             45.58220531    44.41779469   236.91890175    50.34884644   114.77439880
A21_XZ             45.56613729    44.43386271   236.93614115    50.34884644   114.80068970
A22_XZ             45.54393234    44.45606766   236.95996485    50.34884644   114.83702087
A24_XZ             45.61078623    44.38921377   237.16246629    50.50428009   114.88244629
A25_XZ             45.59083525    44.40916475   237.18394040    50.50428009   114.91506958
A27_XZ             45.55101867    44.44898133   237.22680667    50.50428009   114.98014832
A28_XZ             45.57030029    44.42969971   237.35092486    50.58627701   115.03034210
A30_XZ             45.54933844    44.45066156   237.51853770    50.66827393   115.14632416
A32_XZ             45.57475016    44.42524984   237.76614571    50.82370758   115.25996399
A38_XZ             45.56252753    44.43747247   238.34589215    51.14313889   115.59926605
A40_XZ             45.59794889    44.40205111   238.58328220    51.29857254   115.69732666
A42_XZ             45.62288933    44.37711067   238.83231089    51.45401001   115.81272888
A43_XZ             45.58834906    44.41165094   238.87028674    51.45401001   115.86888885
